ProductID,ProductName,Category,Price,Rating,NumReviews,StockQuantity,Discount,Sales,DateAdded,City,Stock In Vast or Limited Quantity,,,,ROUND,SQRT,MINIMUM,MAXIMUM,SUM,MEDIAN,RANK,LEFT,RIGHT,LENGTH,MID
1,Headphones,Electronics,400.31,1.7,3772,20,0.08,466,11-10-2023,Albuquerque,TRUE,,,,400,61.41661013,3,993,251.64,505,746,Head,ones,11,buquer
2,Headphones,Electronics,235.03,2.3,2919,663,0.33,1332,9/28/2023,Queens,TRUE,,,,235,54.02777064,,,,,582,Head,ones,6,eens
3,Smartwatch,Electronics,417.9,1.8,1184,459,0.31,252,10/20/2023,Austin,TRUE,,,,418,34.40930107,,,,,248,Smar,atch,6,stin
4,Smartphone,Electronics,152.7,3.4,2047,475,0.49,1806,12-05-2023,Dallas,TRUE,,,,153,45.2437841,,,,,407,Smar,hone,6,llas
5,Laptop,Electronics,394.74,1.8,1267,831,0.23,1508,08-10-2023,Tucson,TRUE,,,,395,35.59494346,,,,,268,Lapt,ptop,6,cson
6,Headphones,Electronics,93.56,1.3,2435,600,0.48,241,9/21/2023,Louisville,TRUE,,,,94,49.34571917,,,,,493,Head,ones,10,uisvil
7,Laptop,Electronics,57.86,3.7,1478,427,0.25,1966,05-08-2024,Cleveland,TRUE,,,,58,38.44476557,,,,,312,Lapt,ptop,9,evelan
8,Laptop,Electronics,201.62,1.7,3073,389,0.1,1795,08-07-2023,Houston,TRUE,,,,202,55.43464621,,,,,607,Lapt,ptop,7,uston
9,Smartphone,Electronics,485.1,4.1,161,201,0.45,269,6/27/2023,Cape Coral,TRUE,,,,485,12.68857754,,,,,36,Smar,hone,10,pe Cor
10,Smartwatch,Electronics,170,3.3,1275,701,0.16,719,10/19/2023,Minneapolis,TRUE,,,,170,35.70714214,,,,,272,Smar,atch,11,nneapo
11,Laptop,Electronics,274.45,3.3,4859,187,0.27,1064,01-07-2024,Memphis,FALSE,,,,274,69.70652767,,,,,976,Lapt,ptop,7,mphis
12,Headphones,Electronics,90.98,1.1,2568,343,0.2,647,04-10-2024,Mesa,FALSE,,,,91,50.67543784,,,,,521,Head,ones,4,sa
13,Headphones,Electronics,107.43,3.8,4514,288,0.3,1513,10/25/2023,Palm Bay,FALSE,,,,107,67.18630813,,,,,895,Head,ones,8,lm Bay
14,Laptop,Electronics,66.78,4.5,4875,929,0.05,502,04-11-2024,Columbia,FALSE,,,,67,69.82120022,,,,,979,Lapt,ptop,8,lumbia
15,Smartwatch,Electronics,336.3,3.4,2773,986,0.28,1762,03-03-2024,Seattle,FALSE,,,,336,52.65928218,,,,,560,Smar,atch,7,attle
16,Headphones,Electronics,359.49,4,502,766,0.13,794,11/18/2023,Hartford,FALSE,,,,359,22.4053565,,,,,98,Head,ones,8,rtford
17,Headphones,Electronics,64.34,2.8,863,742,0.24,1020,03-08-2024,Palm Bay,FALSE,,,,64,29.37686164,,,,,173,Head,ones,8,lm Bay
18,Smartwatch,Electronics,454.71,2,1678,170,0.1,524,01-04-2024,Charlotte,FALSE,,,,455,40.9633983,,,,,344,Smar,atch,9,arlott
